Dr.Geetha Dayalan 1
(4_ DBMS), 0, (1_ DBMS), 0, (1_ DBMS), (0_ DBMS), (4_ DBMS), (1_ DBMS), 0
0, (7_ DSA_LAB0), (7_ DSA_LAB1), 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
Prof.Umme Hanni 6
(6_ DSA), (7_ DSA), (7_ DSA), 0, 0, 0, (9_ DSA), (9_ DSA), 0
0, 0, 0, (6_ DSA), (6_ DSA), (9_ DSA), 0, 0, 0
(7_ DSA), (6_ DSA), (6_ DSA), 0, 0, 0, 0, 0, 0
(9_ DSA), 0, (9_ DSA), 0, 0, 0, (7_ DSA), (7_ DSA), 0
0, 0, 0, (7_ DSA), 0, (9_ DSA), (6_ DSA), 0, 0
Dr.Arti Arya 7
(3_ MI), (2_ MI), (0_ MI), (0_ MI), 0, (3_ MI), (3_ MI), (0_ MI), 0
1, 1, 1, 1, (0_ MI), (2_ MI), (2_ MI), (3_ MI), 0
(2_ MI), (3_ MI_LAB0), (3_ MI_LAB1), 0, 0, 0, 0, 0, 0
(0_ MI), (2_ MI), 1, 1, 1, 1, 1, (3_ MI), 0
0, 0, 0, (0_ MI_LAB0), (0_ MI_LAB1), (2_ MI), (0_ MI), (3_ MI), 0
Dr.Pooja Agarwal 8
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, (4_ MI_LAB0), (4_ MI_LAB1), 0, 0, 0, 0, 0, 0
0, (1_ MI_LAB0), (1_ MI_LAB1), 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
Dr.Alpha Vijayan 9
(1_ MI), 0, (4_ MI), 0, 0, (1_ MI), 0, 0, 0
0, 0, 0, (4_ MI), (4_ MI), 0, 0, 0, 0
0, 0, (1_ MI), 0, 0, 0, 0, 0, 0
(4_ MI), (4_ MI), (4_ MI), 0, 0, 0, (1_ MI), (1_ MI), 0
0, 0, 0, (2_ MI_LAB0), (2_ MI_LAB1), 0, 0, (1_ MI), 0
Dr.Prema 10
0, 0, 0, 0, 0, 0, (7_ AFLL), (7_ AFLL), 0
0, 0, 0, (9_ AFLL), 0, (7_ AFLL), 0, (9_ AFLL), 0
(9_ AFLL), (5_ AFLL_LAB0), (5_ AFLL_LAB1), 0, 0, 0, 0, 0, 0
(7_ AFLL), 0, 0, 0, 0, 0, (9_ AFLL), (9_ AFLL), 0
0, 0, 0, (9_ AFLL), 0, (7_ AFLL), (7_ AFLL), 0, 0
Prof.Kokila 11
0, 0, 0, 0, 0, 0, (8_ AFLL_LAB0), (8_ AFLL_LAB1), 0
0, 0, 0, 0, 0, (8_ AFLL), 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
(8_ AFLL), (8_ AFLL), (8_ AFLL), 0, 0, 0, (8_ AFLL), 0, 0
0, 0, 0, 0, 0, (8_ AFLL), 0, 0, 0
Dr.Charu Kathuria 12
0, 0, (6_ AFLL), 0, 0, 0, (5_ AFLL), (5_ AFLL), 0
0, 0, 0, (7_ AFLL_LAB0), (7_ AFLL_LAB1), (6_ AFLL), (5_ AFLL), 0, 0
(6_ AFLL), (9_ AFLL_LAB0), (9_ AFLL_LAB1), 0, 0, 0, 0, 0, 0
(5_ AFLL), (6_ AFLL_LAB0), (6_ AFLL_LAB1), 0, 0, 0, (6_ AFLL), (5_ AFLL), 0
0, 0, 0, (6_ AFLL), 0, (6_ AFLL), 0, (5_ AFLL), 0
Prof.Sheela Devi 13
(8_ SE), 0, 0, 0, (8_ SE), (8_ SE), 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, (8_ SE), 0
0, 0, 0, (8_ SE), (8_ SE), 0, 0, 0, 0
Dr.Sudeepa Roy Dey 14
(0_ SE), (4_ SE), (3_ SE), 0, (3_ SE), (4_ SE), (0_ SE), (4_ SE), 0
0, 0, 0, (0_ SE), 0, 0, 0, (0_ SE), 0
(4_ SE), 0, 1, 1, 1, 1, 1, 0, 0
(3_ SE), (3_ SE), (3_ SE), 0, 0, 0, (3_ SE), (0_ SE), 0
1, 1, 1, 1, 0, (0_ SE), (4_ SE), (4_ SE), 0
Prof.Animesh Giri 15
(9_ SE), (1_ SE), (2_ SE), (9_ SE), 0, 0, (1_ SE), (2_ SE), 0
1, 1, 1, 1, (9_ SE), 0, (9_ SE), (1_ SE), 0
(1_ SE), (2_ SE), (2_ SE), 0, 0, 0, 0, 0, 0
(2_ SE), (9_ SE), 1, 1, 1, 1, 1, (2_ SE), 0
0, 0, 0, (1_ SE), 0, (1_ SE), 0, (9_ SE), 0
Prof.Rohith Vaidya 16
(7_ SE), (5_ SE), (5_ SE), (7_ SE), (7_ SE), (6_ SE), 0, 0, 0
0, 0, 0, 0, 0, 0, (6_ SE), (6_ SE), 0
(5_ SE), 0, 0, 0, 0, 0, 0, 0, 0
(6_ SE), (7_ SE), (7_ SE), 0, 0, 0, 0, (6_ SE), 0
0, 0, 0, (5_ SE), (5_ SE), 0, (5_ SE), (6_ SE), 0
Prof.Divya Ebenezer 17
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
